ID_HECHO,FECHA,AAAA,MM,DD,HH,DIA_SEMANA_NUM,DIA_SEMANA_STR,N_VICTIMAS,ACUSADO,VICTIMA,ROL,SEXO,EDAD,FECHA_FALLECIMIENTO,COMUNA,COMUNA_NOMBRE,COMUNA_POB,TIPO_DE_CALLE,CALLE,DIRE_NOR,POSX,POSY
2016-0001,2016-01-01,2016,1,1,4.0,4,Viernes,1,AUTO,MOTO,CONDUCTOR,MASCULINO,19.0,2016-01-01,8.0,"Villa Soldati, Villa Riachuelo, Villa Lugano",204842.0,AVENIDA,PIEDRA BUENA AV.,"PIEDRA BUENA AV. y FERNANDEZ DE LA CRUZ, F., GRAL. AV.",-58.47533969,-34.68757022
2016-0002,2016-01-02,2016,1,2,1.0,5,Sábado,1,PASAJEROS,AUTO,CONDUCTOR,MASCULINO,70.0,2016-01-02,9.0,"Liniers, Mataderos, Parque Avellaneda",169538.0,GRAL PAZ,"PAZ, GRAL. AV.","PAZ, GRAL. AV. y DE LOS CORRALES AV.",-58.50877521,-34.66977709
2016-0003,2016-01-03,2016,1,3,7.0,6,Domingo,1,AUTO,MOTO,CONDUCTOR,MASCULINO,30.0,2016-01-03,1.0,"Retiro, San Nicolás, Puerto Madero, San Telmo, Monserrat, Constitución",223282.0,AVENIDA,ENTRE RIOS AV.,ENTRE RIOS AV. 2034,-58.39040293,-34.63189362
2016-0004,2016-01-10,2016,1,10,0.0,6,Domingo,1,,MOTO,CONDUCTOR,MASCULINO,18.0,,8.0,"Villa Soldati, Villa Riachuelo, Villa Lugano",204842.0,AVENIDA,LARRAZABAL AV.,"LARRAZABAL AV. y VILLEGAS, CONRADO, GRAL.",-58.46503904,-34.68092974
2016-0005,2016-01-21,2016,1,21,5.0,3,Jueves,1,PASAJEROS,MOTO,CONDUCTOR,MASCULINO,29.0,2016-02-01,1.0,"Retiro, San Nicolás, Puerto Madero, San Telmo, Monserrat, Constitución",223282.0,AVENIDA,SAN JUAN AV.,"SAN JUAN AV. y SAENZ PEÃ‘A, LUIS, PRES.",-58.38718297,-34.6224663
2016-0008,2016-01-24,2016,1,24,18.0,6,Domingo,1,OBJETO FIJO,MOTO,CONDUCTOR,MASCULINO,30.0,2016-01-24,8.0,"Villa Soldati, Villa Riachuelo, Villa Lugano",204842.0,AVENIDA,27 DE FEBRERO AV.,27 DE FEBRERO AV. y ESCALADA AV.,-58.44451316,-34.68475866
2016-0009,2016-01-24,2016,1,24,19.0,6,Domingo,1,AUTO,MOTO,PASAJERO_ACOMPAÑANTE,MASCULINO,29.0,2016-01-26,11.0,"Villa General Mitre, Villa Devoto, Villa del Parque, Villa Santa Rita",203491.0,CALLE,NOGOYA,"NOGOYA y GONZALEZ, JOAQUIN V.",-58.50095869,-34.6082544
2016-0010,2016-01-29,2016,1,29,15.0,4,Viernes,1,AUTO,MOTO,CONDUCTOR,MASCULINO,18.0,2016-01-29,9.0,"Liniers, Mataderos, Parque Avellaneda",169538.0,GRAL PAZ,"PAZ, GRAL. AV.","PAZ, GRAL. AV. y DE LOS CORRALES AV.",-58.50877521,-34.66977709
2016-0012,2016-02-08,2016,2,8,1.0,0,Lunes,1,CARGAS,MOTO,CONDUCTOR,MASCULINO,22.0,2016-02-08,1.0,"Retiro, San Nicolás, Puerto Madero, San Telmo, Monserrat, Constitución",223282.0,AVENIDA,BELGRANO AV.,"BELGRANO AV. e IRIGOYEN, BERNARDO DE",-58.38048577,-34.61303893
2016-0013,2016-02-10,2016,2,10,11.0,2,Miércoles,1,AUTO,PEATON,PEATON,MASCULINO,16.0,2016-02-10,1.0,"Retiro, San Nicolás, Puerto Madero, San Telmo, Monserrat, Constitución",223282.0,AVENIDA,ENTRE RIOS AV.,ENTRE RIOS AV. 1366,-58.39114932,-34.62477387
