ID,N_VICTIMAS,FECHA,AAAA,MM,DD,HH,TIPO_DE_CALLE,Calle,Dirección Normalizada,COMUNA,pos x,pos y,VICTIMA,ACUSADO,COMUNA_NOMBRE,COMUNA_POB,DIA_SEMANA_NUM,DIA_SEMANA_STR
2016-0001,1,2016-01-01,2016,1,1,4.0,AVENIDA,PIEDRA BUENA AV.,"PIEDRA BUENA AV. y FERNANDEZ DE LA CRUZ, F., GRAL. AV.",8.0,-58.47533969,-34.68757022,MOTO,AUTO,"Villa Soldati, Villa Riachuelo, Villa Lugano",204842.0,4,Viernes
2016-0002,1,2016-01-02,2016,1,2,1.0,GRAL PAZ,"PAZ, GRAL. AV.","PAZ, GRAL. AV. y DE LOS CORRALES AV.",9.0,-58.50877521,-34.66977709,AUTO,PASAJEROS,"Liniers, Mataderos, Parque Avellaneda",169538.0,5,Sábado
2016-0003,1,2016-01-03,2016,1,3,7.0,AVENIDA,ENTRE RIOS AV.,ENTRE RIOS AV. 2034,1.0,-58.39040293,-34.63189362,MOTO,AUTO,"Retiro, San Nicolás, Puerto Madero, San Telmo, Monserrat, Constitución",223282.0,6,Domingo
2016-0004,1,2016-01-10,2016,1,10,0.0,AVENIDA,LARRAZABAL AV.,"LARRAZABAL AV. y VILLEGAS, CONRADO, GRAL.",8.0,-58.46503904,-34.68092974,MOTO,,"Villa Soldati, Villa Riachuelo, Villa Lugano",204842.0,6,Domingo
2016-0005,1,2016-01-21,2016,1,21,5.0,AVENIDA,SAN JUAN AV.,"SAN JUAN AV. y SAENZ PEÃ‘A, LUIS, PRES.",1.0,-58.38718297,-34.6224663,MOTO,PASAJEROS,"Retiro, San Nicolás, Puerto Madero, San Telmo, Monserrat, Constitución",223282.0,3,Jueves
2016-0008,1,2016-01-24,2016,1,24,18.0,AVENIDA,27 DE FEBRERO AV.,27 DE FEBRERO AV. y ESCALADA AV.,8.0,-58.44451316,-34.68475866,MOTO,OBJETO FIJO,"Villa Soldati, Villa Riachuelo, Villa Lugano",204842.0,6,Domingo
2016-0009,1,2016-01-24,2016,1,24,19.0,CALLE,NOGOYA,"NOGOYA y GONZALEZ, JOAQUIN V.",11.0,-58.50095869,-34.6082544,MOTO,AUTO,"Villa General Mitre, Villa Devoto, Villa del Parque, Villa Santa Rita",203491.0,6,Domingo
2016-0010,1,2016-01-29,2016,1,29,15.0,GRAL PAZ,"PAZ, GRAL. AV.","PAZ, GRAL. AV. y DE LOS CORRALES AV.",9.0,-58.50877521,-34.66977709,MOTO,AUTO,"Liniers, Mataderos, Parque Avellaneda",169538.0,4,Viernes
2016-0012,1,2016-02-08,2016,2,8,1.0,AVENIDA,BELGRANO AV.,"BELGRANO AV. e IRIGOYEN, BERNARDO DE",1.0,-58.38048577,-34.61303893,MOTO,CARGAS,"Retiro, San Nicolás, Puerto Madero, San Telmo, Monserrat, Constitución",223282.0,0,Lunes
2016-0013,1,2016-02-10,2016,2,10,11.0,AVENIDA,ENTRE RIOS AV.,ENTRE RIOS AV. 1366,1.0,-58.39114932,-34.62477387,PEATON,AUTO,"Retiro, San Nicolás, Puerto Madero, San Telmo, Monserrat, Constitución",223282.0,2,Miércoles
2016-0015,1,2016-02-14,2016,2,14,5.0,AVENIDA,"SCALABRINI ORTIZ, RAUL AV.","SCALABRINI ORTIZ, RAUL AV. y VERA",15.0,-58.4376002,-34.59912758,PEATON,AUTO,"Chacarita, Villa Crespo, La Paternal, Villa Ortúzar, Agronomía, Parque Chas",197903.0,6,Domingo
2016-0016,1,2016-02-14,2016,2,14,22.0,AVENIDA,REGIMIENTO DE PATRICIOS AV.,"REGIMIENTO DE PATRICIOS AV. y QUINQUELA MARTIN, BENITO",4.0,-58.36882665,-34.64291993,MOTO,AUTO,"Barracas, La Boca",230945.0,6,Domingo
2016-0017,1,2016-02-15,2016,2,15,16.0,AVENIDA,"ACOSTA, MARIANO","ACOSTA, MARIANO y JANER, ANA MARIA",8.0,-58.44989671,-34.65970435,PEATON,MOTO,"Villa Soldati, Villa Riachuelo, Villa Lugano",204842.0,0,Lunes
2016-0019,1,2016-02-17,2016,2,17,9.0,CALLE,"DE LA TORRE, LISANDRO","DE LA TORRE, LISANDRO y GARCIA GRANDE DE ZEQUEIRA, SEVERO",9.0,-58.50990884,-34.65468721,PEATON,PASAJEROS,"Liniers, Mataderos, Parque Avellaneda",169538.0,2,Miércoles
2016-0020,1,2016-02-17,2016,2,17,16.0,CALLE,SUIPACHA,SUIPACHA 156,1.0,-58.37952223,-34.60653282,PEATON,AUTO,"Retiro, San Nicolás, Puerto Madero, San Telmo, Monserrat, Constitución",223282.0,2,Miércoles
2016-0021,1,2016-02-17,2016,2,17,23.0,AVENIDA,DIRECTORIO AV.,DIRECTORIO AV. y CURAPALIGUE,7.0,-58.45157703,-34.63063795,AUTO,AUTO,"Flores, Parque Chacabuco",216832.0,2,Miércoles
2016-0022,1,2016-02-21,2016,2,21,6.0,AVENIDA,9 DE JULIO AV.,"9 DE JULIO AV. y ALSINA, ADOLFO",1.0,-58.38144696,-34.61079875,MOTO,AUTO,"Retiro, San Nicolás, Puerto Madero, San Telmo, Monserrat, Constitución",223282.0,6,Domingo
2016-0025,1,2016-02-28,2016,2,28,4.0,GRAL PAZ,"PAZ, GRAL. AV.","PAZ, GRAL. AV. y 27 DE FEBRERO AV.",8.0,-58.46244952,-34.70524971,AUTO,AUTO,"Villa Soldati, Villa Riachuelo, Villa Lugano",204842.0,6,Domingo
2016-0026,1,2016-02-28,2016,2,28,7.0,CALLE,HOLMBERG,HOLMBERG y VEDIA,12.0,-58.49216191,-34.54738649,AUTO,OBJETO FIJO,"Coghlan, Saavedra, Villa Urquiza, Villa Pueyrredón",236294.0,6,Domingo
2016-0027,1,2016-02-28,2016,2,28,9.0,AVENIDA,CURAPALIGUE AV.,"CURAPALIGUE AV. y DIAZ, AVELINO",7.0,-58.44497874,-34.63852623,AUTO,AUTO,"Flores, Parque Chacabuco",216832.0,6,Domingo
2016-0028,1,2016-03-02,2016,3,2,10.0,AVENIDA,VIAMONTE,VIAMONTE y 9 DE JULIO AV.,1.0,-58.38199706,-34.60028648,PEATON,CARGAS,"Retiro, San Nicolás, Puerto Madero, San Telmo, Monserrat, Constitución",223282.0,2,Miércoles
2016-0029,1,2016-03-04,2016,3,4,17.0,AVENIDA,CABILDO AV.,CABILDO AV. y DEHEZA,12.0,-58.47378664,-34.54153077,PEATON,PASAJEROS,"Coghlan, Saavedra, Villa Urquiza, Villa Pueyrredón",236294.0,4,Viernes
